Satelit,Latitude,Longitude,Kedalaman,Temperature
12,-7.823325,110.119575,30.0,31.0

12,-7.823317,110.119567,30.0,30.9

12,-7.823308,110.119567,30.4,30.9

12,-7.8233,110.119567,30.0,31.0

12,-7.823293,110.11956,29.9,31.0

12,-7.823285,110.11956,29.9,31.0

12,-7.823278,110.11956,29.9,30.9

12,-7.82327,110.119552,29.9,31.0

12,-7.823262,110.119552,29.9,30.9

12,-7.823253,110.119544,30.0,30.9

12,-7.823245,110.119544,30.2,30.9

12,-7.823236,110.119537,30.0,30.9

12,-7.823228,110.119537,30.1,30.9

12,-7.82322,110.119529,29.5,31.0

12,-7.82321,110.119529,30.4,31.0

12,-7.823202,110.119529,29.7,31.0

12,-7.823192,110.119529,29.1,31.0

12,-7.823182,110.119522,29.7,31.1

12,-7.823172,110.119522,29.8,30.9

12,-7.823162,110.119522,29.1,31.0

12,-7.823153,110.119514,28.9,30.9

12,-7.823143,110.119514,28.9,30.9

12,-7.823133,110.119506,28.9,30.9

12,-7.823125,110.119506,28.9,30.9

11,-7.823115,110.119506,29.0,30.9

12,-7.823107,110.119506,29.0,31.0

11,-7.823098,110.119499,29.0,31.1

11,-7.82309,110.119499,28.5,31.0

11,-7.823081,110.119499,28.7,30.9

11,-7.823071,110.119491,28.6,31.1

11,-7.823063,110.119491,28.8,31.0

11,-7.823055,110.119491,28.6,31.0

11,-7.823048,110.119491,28.9,30.9

11,-7.82304,110.119491,28.3,31.1

11,-7.823031,110.119491,28.3,30.9

11,-7.823023,110.119491,28.3,30.9

11,-7.823015,110.119483,29.0,30.9

11,-7.823007,110.119483,28.4,31.0

11,-7.822999,110.119483,28.2,30.9

11,-7.82299,110.119483,27.9,31.0

11,-7.82298,110.119476,28.8,30.9

11,-7.822972,110.119476,27.8,31.0

11,-7.822962,110.119476,27.9,31.0

11,-7.822953,110.119468,28.2,31.0

11,-7.822943,110.119468,27.5,31.0

11,-7.822935,110.119468,28.0,30.9

11,-7.822925,110.119468,27.3,31.0

11,-7.822916,110.119468,27.8,31.0

11,-7.822906,110.119468,27.7,31.0

11,-7.822898,110.119468,27.6,31.0

11,-7.822888,110.119461,26.9,31.0

11,-7.822877,110.119461,26.8,31.1

11,-7.822868,110.119461,26.9,31.0

7,-7.822858,110.119461,27.0,31.0

12,-7.82285,110.119461,26.9,31.1

12,-7.82284,110.119453,27.2,31.0

12,-7.822832,110.119453,26.6,31.0

12,-7.822824,110.119453,27.3,30.9

12,-7.822815,110.119453,26.8,30.9

12,-7.822807,110.119453,26.9,31.0

12,-7.822797,110.119445,26.9,31.1

12,-7.822788,110.119445,26.9,31.0

12,-7.82278,110.119445,26.6,30.9

12,-7.82277,110.119445,26.6,31.0

12,-7.82276,110.119445,26.6,31.0

12,-7.82275,110.119445,26.8,30.9

12,-7.82274,110.119445,26.5,31.0

12,-7.82273,110.119445,26.1,30.9

12,-7.82272,110.119438,26.0,30.9

12,-7.822712,110.119438,26.4,31.1

11,-7.822701,110.119438,25.9,31.0

12,-7.822691,110.119438,25.8,31.0

11,-7.822683,110.119438,26.0,30.9

12,-7.822673,110.119438,25.8,31.0

12,-7.822665,110.11943,26.0,31.1

12,-7.822657,110.11943,26.0,30.9

12,-7.822647,110.11943,25.8,31.1

12,-7.822638,110.11943,25.9,30.9

12,-7.82263,110.119422,26.0,31.0

12,-7.822622,110.119422,25.8,31.1

12,-7.822613,110.119422,25.9,31.0

12,-7.822605,110.119422,25.6,31.1

12,-7.822597,110.119422,25.7,31.0

12,-7.822588,110.119422,25.6,31.0

12,-7.82258,110.119422,25.2,31.1

12,-7.822572,110.119415,25.3,31.0

12,-7.822563,110.119415,26.1,30.9

12,-7.822556,110.119415,25.7,31.1

12,-7.822548,110.119415,25.0,31.0

12,-7.82254,110.119415,25.7,31.1

12,-7.822532,110.119415,25.3,31.0

12,-7.822523,110.119415,25.0,31.0

12,-7.822515,110.119415,25.2,31.0

12,-7.822507,110.119415,24.5,31.1

12,-7.822496,110.119407,24.5,31.0

12,-7.822488,110.119407,25.2,31.0

12,-7.82248,110.1194,24.3,31.1

12,-7.822472,110.1194,24.4,31.0

12,-7.822463,110.1194,24.6,31.0

12,-7.822457,110.1194,24.4,31.0

12,-7.822448,110.119392,24.3,31.1

12,-7.82244,110.119392,24.4,31.0

12,-7.822433,110.119392,24.8,31.1

12,-7.822425,110.119392,24.1,31.0

